id,question,answer,text,processed_text,sub_topic
11,Write sql query to get the names of employees whose date of birth is between 01/01/1990 to 31/12/2000.,"This SQL query appears a bit tricky. We can use BETWEEN clause to get all the employees whose date of birth lies between two given dates.
Query will be as follows:
SELECT EmpName FROM Employees WHERE birth_date BETWEEN ""01/01/1990"" AND ""31/12/2000""
Remember BETWEEN is always inclusive of both the dates.","Write sql query to get the names of employees whose date of birth is between 01/01/1990 to 31/12/2000.This SQL query appears a bit tricky. We can use BETWEEN clause to get all the employees whose date of birth lies between two given dates.
Query will be as follows:
SELECT EmpName FROM Employees WHERE birth_date BETWEEN ""01/01/1990"" AND ""31/12/2000""
Remember BETWEEN is always inclusive of both the dates.",write sql query get name employee whose date birth between/ to/.this sql query appears bit tricky . use clause get employee whose date birth lie two given date . query follows : select empname employee birth_date between// '' and// '' remember always inclusive date .,
12,Write sql query to get the quarter from date.,"Answer: We can use to_char function with ""Q"" option for quarter to get quarter from a date.
Use TO_CHAR with option ""Q"" for Quarter
SELECT TO_CHAR(TO_DATE(""3/31/2016"", ""MM/DD/YYYY""), ""Q"") AS quarter FROM DUAL","Write sql query to get the quarter from date.Answer: We can use to_char function with ""Q"" option for quarter to get quarter from a date.
Use TO_CHAR with option ""Q"" for Quarter
SELECT TO_CHAR(TO_DATE(""3/31/2016"", ""MM/DD/YYYY""), ""Q"") AS quarter FROM DUAL","write sql query get quarter date.answer : use to_char function withq '' option quarter get quarter date . use to_char optionq '' quarter select to_char ( to_date ( `` // '' , mm/dd/yyyy '' ) , q '' ) quarter dual",
13,Write query to find employees with duplicate email.,"Employee table:
ID	NAME	EMAIL
10	John	jsmith
20	George	gadams
30	Jane	jsmith
We can use Group by clause on the column in which we want to find duplicate values.
Query would be as follows:
SELECT name, COUNT(email) FROM Employee GROUP BY email HAVING ( COUNT(email) > 1 )","Write query to find employees with duplicate email.Employee table:
ID	NAME	EMAIL
10	John	jsmith
20	George	gadams
30	Jane	jsmith
We can use Group by clause on the column in which we want to find duplicate values.
Query would be as follows:
SELECT name, COUNT(email) FROM Employee GROUP BY email HAVING ( COUNT(email) > 1 )","write query find employee duplicate email.employee table : id name email john jsmith george gadams jane jsmith use group clause column want find duplicate value . query would follows : select name , count ( email ) employee group email count ( email )",
14,"Write a query to find all employee whose name contains the word ""rich"", regardless of case.","E.g. Rich, RICH, rich.
We can use UPPER function for comparing the both sides with uppercase.
SELECT * FROM Employees WHERE UPPER(emp_name) like ""%RICH%""","Write a query to find all employee whose name contains the word ""rich"", regardless of case.E.g. Rich, RICH, rich.
We can use UPPER function for comparing the both sides with uppercase.
SELECT * FROM Employees WHERE UPPER(emp_name) like ""%RICH%""","write query find employee whose name contains wordrich '' , regardless case.e.g . rich , rich , rich . use upper function comparing side uppercase . select employee upper ( emp_name ) like % rich % ''",
15,Is it safe to use rowid to locate a record in oracle sql queries?,"ROWID is the physical location of a row. We can do very fast lookup based on ROWID. In a transaction where we first search a few rows and then update them one by one, we can use ROWID. But ROWID of a record can change over time. If we rebuild a table a record can get a new ROWID. If a record is deleted, its ROWID can be given to another record. So it is not recommended to store and use ROWID in long term. It should be used in same transactions.","Is it safe to use rowid to locate a record in oracle sql queries?ROWID is the physical location of a row. We can do very fast lookup based on ROWID. In a transaction where we first search a few rows and then update them one by one, we can use ROWID. But ROWID of a record can change over time. If we rebuild a table a record can get a new ROWID. If a record is deleted, its ROWID can be given to another record. So it is not recommended to store and use ROWID in long term. It should be used in same transactions.","safe use rowid locate record oracle sql query ? rowid physical location row . fast lookup based rowid . transaction first search row update one one , use rowid . rowid record change time . rebuild table record get new rowid . record deleted , rowid given another record . recommended store use rowid long term . used transaction .",
16,What is a pseudo�olumn?,"A Pseudocolumn is like a table column, but it is not stored in the same table. We can select from a Pseudocolumn, but we can not insert, update or delete on a Pseudocolumn. A Pseudocolumn is like a function with no arguments. Two most popular Pseudocolumns in Oracle are ROWID and ROWNUM. NEXTVAL and CURRVAL are also pseudo columns.","What is a pseudo�olumn?A Pseudocolumn is like a table column, but it is not stored in the same table. We can select from a Pseudocolumn, but we can not insert, update or delete on a Pseudocolumn. A Pseudocolumn is like a function with no arguments. Two most popular Pseudocolumns in Oracle are ROWID and ROWNUM. NEXTVAL and CURRVAL are also pseudo columns.","pseudo�olumn ? pseudocolumn like table column , stored table . select pseudocolumn , insert , update delete pseudocolumn . pseudocolumn like function argument . two popular pseudocolumns oracle rowid rownum . nextval currval also pseudo column .",
17,What are the reasons for denormalizing the data?,"We de-normalize data when we need better performance. Sometimes there are many joins in a query due to highly normalized data. In that case, for faster data retrieval it becomes essential to de-normalize data.","What are the reasons for denormalizing the data?We de-normalize data when we need better performance. Sometimes there are many joins in a query due to highly normalized data. In that case, for faster data retrieval it becomes essential to de-normalize data.","reason denormalizing data ? de-normalize data need better performance . sometimes many join query due highly normalized data . case , faster data retrieval becomes essential de-normalize data .",
18,What is the feature in sql for writing if and else statements?,"In SQL, we can use CASE statements to write If/Else statements. We can also use DECODE function in Oracle SQL for writing simple If/Else logic.","What is the feature in sql for writing if and else statements?In SQL, we can use CASE statements to write If/Else statements. We can also use DECODE function in Oracle SQL for writing simple If/Else logic.","feature sql writing else statement ? sql , use case statement write if/else statement . also use decode function oracle sql writing simple if/else logic .",
19,What is the difference between delete and truncate in sql?,"Main differences between DELETE and TRUNCATE commands are:
DML vs. DDL: DELETE is a Data Manipulation Language (DML) command. TRUNCATE is a Data Definition Language (DDL) command.

Number of Rows: We can use DELETE command to remove one or more rows from a table. TRUNCATE command will remove all the rows from a table.
WHERE clause: DELETE command provides support for WHERE clause that can be used to filter the data that we want to delete. TRUNCATE command can only delete all the rows. There is no WHERE clause in TRUNCATE command.
Commit: After DELETE command we have to issue COMMIT or ROLLBACK command to confirm our changes. After TRUNCATE command there is no need to run COMMIT. Changes done by TRUNCATE command can not be rolled back.","What is the difference between delete and truncate in sql?Main differences between DELETE and TRUNCATE commands are:
DML vs. DDL: DELETE is a Data Manipulation Language (DML) command. TRUNCATE is a Data Definition Language (DDL) command.

Number of Rows: We can use DELETE command to remove one or more rows from a table. TRUNCATE command will remove all the rows from a table.
WHERE clause: DELETE command provides support for WHERE clause that can be used to filter the data that we want to delete. TRUNCATE command can only delete all the rows. There is no WHERE clause in TRUNCATE command.
Commit: After DELETE command we have to issue COMMIT or ROLLBACK command to confirm our changes. After TRUNCATE command there is no need to run COMMIT. Changes done by TRUNCATE command can not be rolled back.",difference delete truncate sql ? main difference delete truncate command : dml vs. ddl : delete data manipulation languagedml ) command . truncate data definition languageddl ) command . number row : use delete command remove one row table . truncate command remove row table . clause : delete command provides support clause used filter data want delete . truncate command delete row . clause truncate command . commit : delete command issue commit rollback command confirm change . truncate command need run commit . change done truncate command rolled back .,
20,What is the difference between ddl and dml commands in sql?,"Main differences between Data Definition Language (DDL) and Data Manipulation Language (DML) commands are:
+ DDL vs. DML: DDL statements are used for creating and defining the Database structure. DML statements are used for managing data within Database. Sample Statements: DDL statements are CREATE, ALTER, DROP, TRUNCATE, RENAME etc. DML statements are SELECT, INSERT, DELETE, UPDATE, MERGE, CALL etc.
+ Number of Rows: DDL statements work on whole table. CREATE will a create a new table. DROP will remove the whole table. TRUNCATE will delete all records in a table. DML statements can work on one or more rows. INSERT can insert one or more rows. DELETE can remove one or more rows.
+ WHERE clause: DDL statements do not have a WHERE clause to filter the data. Most of DML statements support filtering the data by WHERE clause.
+ Commit: Changes done by a DDL statement can not be rolled back. So there is no need to issue a COMMIT or ROLLBACK command after DDL statement. We need to run COMMIT or ROLLBACK to confirm our changed after running a DML statement.
+ Transaction: Since each DDL statement is permanent, we can not run multiple DDL statements in a group like Transaction. DML statements can be run in a Transaction. Then we can COMMIT or ROLLBACK this group as a transaction. E.g. We can insert data in two tables and commit it together in a transaction.
+ Triggers: After DDL statements no triggers are fired. But after DML statements relevant triggers can be fired.","What is the difference between ddl and dml commands in sql?Main differences between Data Definition Language (DDL) and Data Manipulation Language (DML) commands are:
+ DDL vs. DML: DDL statements are used for creating and defining the Database structure. DML statements are used for managing data within Database. Sample Statements: DDL statements are CREATE, ALTER, DROP, TRUNCATE, RENAME etc. DML statements are SELECT, INSERT, DELETE, UPDATE, MERGE, CALL etc.
+ Number of Rows: DDL statements work on whole table. CREATE will a create a new table. DROP will remove the whole table. TRUNCATE will delete all records in a table. DML statements can work on one or more rows. INSERT can insert one or more rows. DELETE can remove one or more rows.
+ WHERE clause: DDL statements do not have a WHERE clause to filter the data. Most of DML statements support filtering the data by WHERE clause.
+ Commit: Changes done by a DDL statement can not be rolled back. So there is no need to issue a COMMIT or ROLLBACK command after DDL statement. We need to run COMMIT or ROLLBACK to confirm our changed after running a DML statement.
+ Transaction: Since each DDL statement is permanent, we can not run multiple DDL statements in a group like Transaction. DML statements can be run in a Transaction. Then we can COMMIT or ROLLBACK this group as a transaction. E.g. We can insert data in two tables and commit it together in a transaction.
+ Triggers: After DDL statements no triggers are fired. But after DML statements relevant triggers can be fired.","difference ddl dml command sql ? main difference data definition languageddl ) data manipulation languagedml ) command : + ddl vs. dml : ddl statement used creating defining database structure . dml statement used managing data within database . sample statement : ddl statement create , alter , drop , truncate , rename etc . dml statement select , insert , delete , update , merge , call etc . + number row : ddl statement work whole table . create create new table . drop remove whole table . truncate delete record table . dml statement work one row . insert insert one row . delete remove one row . + clause : ddl statement clause filter data . dml statement support filtering data clause . + commit : change done ddl statement rolled back . need issue commit rollback command ddl statement . need run commit rollback confirm changed running dml statement . + transaction : since ddl statement permanent , run multiple ddl statement group like transaction . dml statement run transaction . commit rollback group transaction . e.g . insert data two table commit together transaction . + trigger : ddl statement trigger fired . dml statement relevant trigger fired .",
21,Why do we use escape characters in sql queries?,"In SQL, there are certain special characters and words that are reserved for special purpose. E.g. & is a reserved character. When we want to use these special characters in the context of our data, we have to use Escape characters to pass the message to database to interpret these as non Special / non Reserved characters.","Why do we use escape characters in sql queries?In SQL, there are certain special characters and words that are reserved for special purpose. E.g. & is a reserved character. When we want to use these special characters in the context of our data, we have to use Escape characters to pass the message to database to interpret these as non Special / non Reserved characters.","use escape character sql query ? sql , certain special character word reserved special purpose . e.g . reserved character . want use special character context data , use escape character pas message database interpret non special non reserved character .",
22,What is the difference between primary key and unique key in sql?,"Main differences between Primary key and Unique key in SQL are:
+ Number: There can be only one Primary key in a table. There can be more than one Unique key in a table.
+ Null value: In some DBMS Primary key cannot be NULL. E.g. MySQL adds NOT NULL to Primary key. A Unique key can have null values.
+ Unique Identifier: Primary Key is a unique identifier of a record in database table. Unique key can be null and we may not be able to identify a record in a unique way by a unique key
+ Changes: It is not recommended to change a Primary key. A Unique key can be changed much easily.
+ Usage: Primary Key is used to identify a row in a table. A Unique key is used to prevent duplicate non-null values in a column.","What is the difference between primary key and unique key in sql?Main differences between Primary key and Unique key in SQL are:
+ Number: There can be only one Primary key in a table. There can be more than one Unique key in a table.
+ Null value: In some DBMS Primary key cannot be NULL. E.g. MySQL adds NOT NULL to Primary key. A Unique key can have null values.
+ Unique Identifier: Primary Key is a unique identifier of a record in database table. Unique key can be null and we may not be able to identify a record in a unique way by a unique key
+ Changes: It is not recommended to change a Primary key. A Unique key can be changed much easily.
+ Usage: Primary Key is used to identify a row in a table. A Unique key is used to prevent duplicate non-null values in a column.",difference primary key unique key sql ? main difference primary key unique key sql : + number : one primary key table . one unique key table . + null value : dbms primary key null . e.g . mysql add null primary key . unique key null value . + unique identifier : primary key unique identifier record database table . unique key null may able identify record unique way unique key + change : recommended change primary key . unique key changed much easily . + usage : primary key used identify row table . unique key used prevent duplicate non-null value column .,
23,What is the difference between inner join and outer join in sql?,"Let say we have two tables X and Y.
The result of an INNER JOIN of X and Y is X intersect. It is the INNER overlapping intersection part of a Venn diagram. The result of an OUTER JOIN of X and Y is X union Y. It is the OUTER parts of a Venn diagram. E.g. Consider following two tables, with just one column x and y:

x | y
- -|- -
10 | 30
20 | 40
30 | 50
40 | 60
In above tables (10,20) are unique to table X, (30,40) are common, and (50,60) are unique to table Y.
INNER JOIN An INNER JOIN by using following query will give the intersection of the two tables X and Y. The intersection is the common data between these tables.
select * from X INNER JOIN Y on X.x =Y.y;
x | y
--+--
30 | 30
40 | 40

OUTER JOIN
A full OUTER JOIN by using following query will us the union of X and Y. It will have all the rows in X and all the rows in Y. If some row in X has not corresponding value in Y, then Y side will be null, and vice versa.
select * from X FULL OUTER JOIN Y on X.x = Y.y;

x| y
----- + -----
10 | null
20 | null

30 |	30
40 |	40
null |	60
null |	50","What is the difference between inner join and outer join in sql?Let say we have two tables X and Y.
The result of an INNER JOIN of X and Y is X intersect. It is the INNER overlapping intersection part of a Venn diagram. The result of an OUTER JOIN of X and Y is X union Y. It is the OUTER parts of a Venn diagram. E.g. Consider following two tables, with just one column x and y:

x | y
- -|- -
10 | 30
20 | 40
30 | 50
40 | 60
In above tables (10,20) are unique to table X, (30,40) are common, and (50,60) are unique to table Y.
INNER JOIN An INNER JOIN by using following query will give the intersection of the two tables X and Y. The intersection is the common data between these tables.
select * from X INNER JOIN Y on X.x =Y.y;
x | y
--+--
30 | 30
40 | 40

OUTER JOIN
A full OUTER JOIN by using following query will us the union of X and Y. It will have all the rows in X and all the rows in Y. If some row in X has not corresponding value in Y, then Y side will be null, and vice versa.
select * from X FULL OUTER JOIN Y on X.x = Y.y;

x| y
----- + -----
10 | null
20 | null

30 |	30
40 |	40
null |	60
null |	50","difference inner join outer join sql ? let say two table x y. result inner join x x intersect . inner overlapping intersection part venn diagram . result outer join x x union y. outer part venn diagram . e.g . consider following two table , one column x : x -|- table , ) unique table x , , ) common , , ) unique table y. inner join inner join using following query give intersection two table x y. intersection common data table . select x inner join x.xy.y ; x -- + -- outer join full outer join using following query u union x y. row x row y. row x corresponding value , side null , vice versa . select x full outer join x.x y.y ; x| -- -- -- -- - null null null null",
24,What is the difference between left outer join and right outer join?,"Let say we have two tables X and Y.
The result of an LEFT OUTER JOIN of X and Y is all rows of X and common rows between X and Y.
The result of an RIGHT OUTER JOIN of X and Y is all rows of Y and common rows between X and Y.
E.g.
Consider following two tables, with just one column x and y:

x| y
- - -|- - 10 | 30
20 | 40
30 | 50
40 | 60

In above tables (10,20) are unique to table X, (30,40) are common, and (50,60) are unique to table Y.
LEFT OUTER JOIN
A left OUTER JOIN by using following query will give us all rows in X and common rows in X and Y.
select * from X LEFT OUTER JOIN Y on X.x = Y.y;
x| y
-- -+-----
10 | null
20 | null
30 |30
40 |40
RIGHT OUTER JOIN
A right OUTER JOIN by using following query will give all rows in Y and common rows in X and Y.
select * from X RIGHT OUTER JOIN Y on X.x = Y.y;
x| y
----- +----
30	|	30
40	|	40
null	|	50
null	|	60","What is the difference between left outer join and right outer join?Let say we have two tables X and Y.
The result of an LEFT OUTER JOIN of X and Y is all rows of X and common rows between X and Y.
The result of an RIGHT OUTER JOIN of X and Y is all rows of Y and common rows between X and Y.
E.g.
Consider following two tables, with just one column x and y:

x| y
- - -|- - 10 | 30
20 | 40
30 | 50
40 | 60

In above tables (10,20) are unique to table X, (30,40) are common, and (50,60) are unique to table Y.
LEFT OUTER JOIN
A left OUTER JOIN by using following query will give us all rows in X and common rows in X and Y.
select * from X LEFT OUTER JOIN Y on X.x = Y.y;
x| y
-- -+-----
10 | null
20 | null
30 |30
40 |40
RIGHT OUTER JOIN
A right OUTER JOIN by using following query will give all rows in Y and common rows in X and Y.
select * from X RIGHT OUTER JOIN Y on X.x = Y.y;
x| y
----- +----
30	|	30
40	|	40
null	|	50
null	|	60","difference left outer join right outer join ? let say two table x y. result left outer join x row x common row x y. result right outer join x row common row x y. e.g . consider following two table , one column x : x| -|- table , ) unique table x , , ) common , , ) unique table y. left outer join left outer join using following query give u row x common row x y. select x left outer join x.x y.y ; x| -- + -- -- - null null right outer join right outer join using following query give row common row x y. select x right outer join x.x y.y ; x| -- -- -- -- - | | null | null |",
25,What is the datatype of rowid?,ROWID Pseudocolumn in Oracle is of ROWID datatype. It is a string that represents the address of a row in the database.,What is the datatype of rowid?ROWID Pseudocolumn in Oracle is of ROWID datatype. It is a string that represents the address of a row in the database.,datatype rowid ? rowid pseudocolumn oracle rowid datatype . string represents address row database .,
26,What is the difference between where clause and having clause?,"We use where clause to filter elements based on some criteria on individual records of a table.
E.g. We can select only employees with first name as John.
SELECT ID, Name FROM Employee WHERE name = ""John""
We use having clause to filter the groups based on the values of aggregate functions.
E.g. We can group by department and only select departments that have more than 10 employees.
SELECT deptId, count(1) FROM Employee GROUP BY deptId HAVING count(*) > 10.","What is the difference between where clause and having clause?We use where clause to filter elements based on some criteria on individual records of a table.
E.g. We can select only employees with first name as John.
SELECT ID, Name FROM Employee WHERE name = ""John""
We use having clause to filter the groups based on the values of aggregate functions.
E.g. We can group by department and only select departments that have more than 10 employees.
SELECT deptId, count(1) FROM Employee GROUP BY deptId HAVING count(*) > 10.","difference clause clause ? use clause filter element based criterion individual record table . e.g . select employee first name john . select id , name employee namejohn '' use clause filter group based value aggregate function . e.g . group department select department employee . select deptid , count ( ) employee group deptid count ( * )",
27,How will you calculate the number of days between two dates in mysql?,"We can use DATEDIFF function for this purpose. The query to get the number of days between two dates in MySQL is as follows:
SELECT DATEDIFF(""2016-12- 31"", ""2015-01-01"");","How will you calculate the number of days between two dates in mysql?We can use DATEDIFF function for this purpose. The query to get the number of days between two dates in MySQL is as follows:
SELECT DATEDIFF(""2016-12- 31"", ""2015-01-01"");","calculate number day two date mysql ? use datediff function purpose . query get number day two date mysql follows : select datediff ( `` -- , -- '' ) ;",
28,What are the different types of triggers in mysql?,"MySQL	supports	six	types	of triggers. These are as follows:
+ Before Insert: This trigger runs before inserting a new row in a table.
+ After Insert: This triggerruns after inserting a new row in a table.
+ Before Update: This trigger runs before updating an existing row in a table.
+ After Update: This trigger runs after updating an existing row in a table.
+ Before Delete: This trigger runs before deleting an existing row in a table.
+ After Delete: This trigger runs after deleting an existing row in a table.","What are the different types of triggers in mysql?MySQL	supports	six	types	of triggers. These are as follows:
+ Before Insert: This trigger runs before inserting a new row in a table.
+ After Insert: This triggerruns after inserting a new row in a table.
+ Before Update: This trigger runs before updating an existing row in a table.
+ After Update: This trigger runs after updating an existing row in a table.
+ Before Delete: This trigger runs before deleting an existing row in a table.
+ After Delete: This trigger runs after deleting an existing row in a table.",different type trigger mysql ? mysql support six type trigger . follows : + insert : trigger run inserting new row table . + insert : triggerruns inserting new row table . + update : trigger run updating existing row table . + update : trigger run updating existing row table . + delete : trigger run deleting existing row table . + delete : trigger run deleting existing row table .,
